Comment,Designator,Footprint,LCSC Part #
1k,R4 R11 R14,R0402,
1u,C9,C0603,
1u25V,C11 C12 C15 C16 C22 C23,C0402,
2,R29 R30,R0603,
2.2u,C5,C0805,
3k3,R16,R0402,
6.8u,L1,INDUCTOR_1008,
10k,R3,R0402,
10n,C14,C0402,
10u,C20 C21 C29 C30 C31,C0805,
18p,C8,C0402,
20k,R7,R0402,
22u,C6 C7,C0805,
30p,C24 C27,C0402,
68k,R5,R0402,
100n,C1 C2 C3 C4 C10 C13 C19 C28,C0402,
120k,R1,R0402,
220k,R6,R0402,
330p,C17 C18,C0402,
680k,R2,R0603,
6800p,C25 C26,C0603,
BSZ042N06NSATMA1,Q1 Q2 Q3 Q4,TRANS_BSZ146N10LS5ATMA1,
DRV8701PRGER,IC1,QFN50P400X400X100-25N,
NCP15XH103F03RC,RT1,THRMC1005X55N,
PMEG6010CEJ 115,D1,SOD323_ST,
PMEG6010CEJ 115,D2,SOD323_ST,
STM32F302_303C2,U7,LQFP48-7X7MM,
TJA1050T_CM 118,U2,SOIC127P600X175-8N,
TPB1 27,TP8,B1 27,
TS-1088-AR02016,S1,TS1088AR02016,
X50328MSB2GI,Y2,RESC5032X135N,
XC6206,U9,SOT95P240X110-3,
