Designator,Mid X,Mid Y,Layer,Rotation
C1,25.20,23.20,Top,180.0
C2,25.00,25.00,Top,90.0
C3,25.70,35.10,Top,270.0
C4,16.00,34.00,Top,0.0
C5, 5.52,43.00,Top,0.0
C6,11.48,43.02,Top,90.0
C7,13.46,43.02,Top,90.0
C8, 7.97,42.45,Top,90.0
C9,12.39,22.69,Top,90.0
C10,11.39,28.33,Top,0.0
C11, 9.40,30.00,Top,270.0
C12, 8.30,30.00,Top,270.0
C13,13.59,22.91,Top,270.0
C14,16.50,26.10,Top,0.0
C15,16.00,35.10,Top,0.0
C16,22.10,21.90,Top,180.0
C17,17.40,23.70,Top,90.0
C18,19.60,23.30,Top,90.0
C19,17.60,41.70,Top,270.0
C20, 5.90,33.20,Top,0.0
C21,24.20,19.40,Top,0.0
C22,12.70,40.30,Top,0.0
C23,14.00,36.50,Top,0.0
C24,13.30,34.40,Top,270.0
C25,18.32,18.88,Top,0.0
C26, 8.18,19.44,Top,180.0
C27,12.00,31.00,Top,270.0
C28,20.00,20.50,Top,180.0
C29, 5.80,35.25,Top,0.0
C30, 5.80,37.55,Top,0.0
C31,24.25,17.35,Top,0.0
D1,15.14,42.92,Top,90.0
D2, 6.21,40.18,Top,270.0
IC1, 9.13,24.64,Top,180.0
L1, 8.85,39.67,Top,0.0
Q1,21.89,13.93,Top,90.0
Q2,16.46,16.25,Top,270.0
Q3, 3.54,15.67,Top,90.0
Q4, 9.46,16.41,Top,270.0
R1, 9.45,44.38,Top,180.0
R2, 9.51,42.45,Top,270.0
R3,24.60,21.30,Top,0.0
R4,23.60,22.90,Top,270.0
R5, 6.72,29.91,Top,0.0
R6,10.70,31.00,Top,90.0
R7,11.08,29.35,Top,180.0
R11,18.50,23.50,Top,90.0
R14,20.60,23.30,Top,90.0
R16,22.20,23.50,Top,0.0
R29,19.00,16.81,Top,270.0
R30, 6.90,17.34,Top,270.0
RT1,12.97,17.31,Top,0.0
S1,19.90,36.10,Top,180.0
TP8,11.95,38.84,Top,0.0
U2,20.80,41.20,Top,90.0
U7,21.30,29.65,Top,0.0
U9,14.39,38.96,Top,90.0
Y2,14.48,30.10,Top,270.0
